district_id,state,district,total_population,child_percent,youth_percent,adult_percent,senior_percent,male_percent,female_percent,literacy_rate,urban_percent,rural_percent,farmer_percent,service_holder_percent,business_percent,others_percent,avg_income,bank_penetration,post_offices_count,Post Office Monthly Income Scheme,Senior Citizen Savings Scheme,Public Provident Fund,Sukanya Samriddhi Yojana,Postal Life Insurance,Rural Postal Life Insurance,National Savings Certificate,Kisan Vikas Patra,Mahila Samman Savings Certificate
35,Arunachal Pradesh,Arunachal Pradesh_District_11,1255640,31.22266097017623,38.877453339998084,30.469942352027385,0.0,50.095687650426896,49.904312349573104,89.35112522437399,19.992057712894503,80.0079422871055,47.79555693340491,30.904516818546014,17.186577568828483,4.113348679220593,597587.2978316725,59.641374597149266,300,43377,0,130455,92515,132793,178633,54191,223635,185634
36,Arunachal Pradesh,Arunachal Pradesh_District_12,1657295,32.01554870749955,34.74488720138053,27.060695010392994,6.17886908072693,52.85319680462929,47.14680319537071,68.88091971464925,44.909293845179306,55.090706154820694,33.21870562665552,27.890323914890097,17.86838052107633,21.022589937378054,618809.1831890387,41.88506731310439,265,87543,66398,261256,144143,206248,190203,64882,299352,248495
37,Arunachal Pradesh,Arunachal Pradesh_District_13,1800426,31.480506063165702,30.671863500509204,27.086120831977993,10.761509604347097,49.93074144246704,50.06925855753296,60.748298620080234,23.330878055481108,76.66912194451889,40.165160726512326,31.72589563613198,21.901450284680447,6.207493352675247,480985.67158352735,64.03130287242934,118,71019,90864,243062,160956,132225,314590,96981,289110,226894
38,Arunachal Pradesh,Arunachal Pradesh_District_14,689631,33.50643519988001,36.9473202290794,34.679826971318334,0.0,51.61917472064287,48.38082527935713,77.39545961053227,32.75955058902336,67.24044941097664,50.38367753505028,27.262101254993443,11.516762094366841,10.837459115589434,179980.8382031539,70.67245031829398,205,22919,0,61052,60583,46828,123577,31868,130472,115982
39,Arunachal Pradesh,Arunachal Pradesh_District_15,2157228,27.581564148796332,34.810973452954165,29.828248177337258,7.779214220912245,52.76439223333744,47.23560776666256,64.71690443089912,62.95552750465217,37.04447249534783,34.203290427846895,33.97964264401698,22.087918163984053,9.729148764152075,427115.25576952583,42.87652664074927,257,161502,103000,414015,160475,261734,190102,145467,274209,324369
40,Arunachal Pradesh,Arunachal Pradesh_District_16,1679801,31.145025983916238,35.40402454430968,33.82771960363826,0.0,48.25774156504013,51.74225843495987,65.12502865958868,43.20187275417845,56.79812724582155,56.09765446667605,15.188962681873416,16.799898197836583,11.913484653613953,210434.23638684786,49.31579426269707,60,62966,0,187181,138669,117119,244928,45884,392472,238792
41,Assam,Assam_District_1,2994793,29.889545143409784,38.21221913281216,29.73003404825345,2.168201675524614,48.79529190213507,51.20470809786493,69.6030066765574,47.859763423816695,52.140236576183305,36.90135278008365,32.60351758116141,19.960980359710707,10.534149279044232,784893.023407699,65.38831835832414,337,132019,41773,424550,217569,353114,271926,183192,453479,412144
42,Assam,Assam_District_2,2428755,34.281589163959815,36.057427558814375,32.652130322330095,0.0,51.89882020389234,48.10117979610766,94.38860055810034,51.19762575595242,48.80237424404758,53.81946457447548,15.519944547675856,11.341725554513634,19.31886532333503,230918.31480571636,53.68073021607014,489,106302,0,224675,231306,207904,378789,78170,403041,353792
43,Assam,Assam_District_3,1562052,31.774347155738326,36.022785951305764,31.602595601809007,0.6002712911469033,48.94346176554002,51.05653823445998,70.36086972751045,18.258752425217608,81.74124757478239,53.94953794560911,18.22087390418831,13.456540303417366,14.373047846785216,171372.88558356918,55.18190434433994,86,42951,4587,120199,123885,69100,297001,51026,438902,217389
44,Assam,Assam_District_4,928339,34.4884000570666,35.369191722684334,27.98387082790221,2.158537392346858,51.163953817022,48.836046182978,86.76015625497904,67.86621147190128,32.13378852809872,36.52760752891196,30.447265746711984,25.258598651243346,7.7665280731327115,521171.4750895423,63.4637344938498,283,68955,12067,166721,87204,118079,86653,49910,133019,113695
45,Assam,Assam_District_5,2207442,25.917295590585436,30.7030045510024,26.354738201260993,17.024961657151167,49.414932656781644,50.585067343218356,88.59117403564947,72.47077019232715,27.52922980767285,53.064241811500395,33.87939062065891,24.645203843007344,0.0,568083.8298434678,49.392148957194465,367,208366,230807,387284,173305,291125,183069,98992,316347,335900
46,Assam,Assam_District_6,2314522,25.344412731528372,32.57001873040649,33.04419692827154,9.041371609793607,52.81275723839143,47.18724276160857,60.32758900715833,53.239894999964086,46.760105000035914,38.459733117916706,27.89084586241229,28.303746279738267,5.345674739932736,412183.1660017834,59.292050292026275,231,169627,115973,408002,148398,255095,278420,129005,361722,329027
47,Assam,Assam_District_7,2501582,26.599366731579625,39.746063577372325,29.242562333677213,4.41200735737084,51.015285015533735,48.984714984466265,70.87367622187053,32.673922668419166,67.32607733158083,38.57833170383959,23.922876829945587,26.446352357480542,11.052439108734283,742976.9766951367,68.20132990499633,310,113043,51872,336360,185322,205097,360504,118698,420318,402960
48,Assam,Assam_District_8,1814737,29.507362739991496,30.638966413091023,28.925396019446694,10.928274827470787,49.80501460186868,50.19498539813132,66.12601476396934,10.54083654264535,89.45916345735465,57.16882220963012,16.542998712416914,15.713860767244139,10.574318310708826,398806.4665242759,40.83830548087106,139,62837,98115,115543,130888,91688,346640,70006,416674,270331
49,Assam,Assam_District_9,1383246,32.04187227559459,39.10274306408462,30.67719085701338,0.0,49.99857646876023,50.00142353123977,67.3538634887068,41.620334249306694,58.379665750693306,34.13130353312613,27.06664734046521,15.804679250152578,22.997369876256084,273108.257376065,45.28830629268873,67,69740,0,158668,106920,120962,167670,44381,182484,216813
50,Assam,Assam_District_10,1784362,30.89237147644111,36.0537740900245,32.09136941151247,0.962485022021923,51.88900598366255,48.11099401633745,72.17414323965991,34.95991980133092,65.04008019866907,55.7558827613648,16.413889406205268,25.100347843996914,2.729879988433016,591619.0867042707,83.21228253195076,415,76485,10667,162546,119193,117580,260356,83173,397592,267946
51,Assam,Assam_District_11,2533164,28.10775084888852,32.915672014632875,27.055887889111414,11.920689247367196,51.14871194654995,48.85128805345005,75.24198595282502,40.40774723280735,59.59225276719265,21.392937985118223,25.001843063061052,20.905993033761902,32.69922591805882,612277.0551252178,62.07989579745252,53,150892,142061,354134,199375,260025,250862,141413,262835,360057
52,Assam,Assam_District_12,2836683,34.636453307432426,37.05792156837875,28.257056599180256,0.048568525008573005,52.81361793157494,47.18638206842506,79.82336145093132,26.574968648546097,73.4250313514539,53.45724972455048,37.910770629492326,14.089764023863179,0.0,452257.8332422663,45.477634560620054,286,102643,816,417006,251030,231072,463718,179756,643551,438951
53,Assam,Assam_District_13,2518896,34.413679285396526,34.95333943058995,28.014068200796086,2.618913083217439,52.1892981872403,47.8107018127597,91.55217358300426,49.48522486618657,50.51477513381343,22.447536614028877,36.85293235399093,25.731229271200142,14.96830176078005,602865.2589452295,75.04189997346118,156,119636,30077,411258,203773,297687,192666,144722,341922,319901
54,Assam,Assam_District_14,1900734,33.803770937173525,37.98871141596525,31.838088379656135,0.0,49.30000741587425,50.69999258412575,94.80066025301079,74.8384585377736,25.161541462226396,43.07361913791016,15.055801119289653,10.40154723080979,31.4690325119904,414217.1366341854,77.3857161426981,285,130277,0,215493,148223,155790,162755,51151,221550,259032
55,Assam,Assam_District_15,1745868,33.57625069910881,33.66645944927256,32.672435275646635,0.08485457597199542,49.02498423753533,50.97501576246467,82.02874019518357,67.56437481007238,32.43562518992762,56.10354553078663,15.865428201107148,11.831232374279901,16.199793893826318,404000.3909861407,53.40228509309749,177,113683,958,214762,120523,174397,217609,58365,333360,227171
56,Assam,Assam_District_16,862947,32.953486667794714,33.35340348631712,34.03163647086873,0.0,48.02764656286723,51.97235343713277,87.57405579274797,23.153032627793095,76.8469673722069,43.675222321111995,29.572396422162278,10.91791536951034,15.834465887215387,396530.27951334545,41.961727133931795,207,24438,0,100947,83273,57364,119023,39984,143518,136893
57,Assam,Assam_District_17,2311363,28.65511524814841,34.468796924566114,28.082535090492815,8.793552736792666,48.834400876372705,51.165599123627295,84.43991209561632,57.367580890005975,42.632419109994025,59.986037050675954,32.17772433437288,17.79440476568201,0.0,502879.03926766396,55.00817462877164,335,201073,122504,443853,141494,351510,358612,129970,404496,417208
58,Assam,Assam_District_18,2008291,29.3546540917411,33.69679303272809,32.05862776721929,4.889925108311523,50.97708817436273,49.02291182563727,82.56417157904033,32.04405678155163,67.95594321844837,56.821665756331136,33.28370928845199,13.670729163917851,0.0,655266.2417146834,65.10372141311846,173,106016,55253,227105,171095,159356,364732,80103,528580,341136
59,Assam,Assam_District_19,750065,29.091455699748863,34.749814422165876,25.22624572460737,10.93248415347789,51.24351597839758,48.75648402160242,60.26716324443692,69.66188692277541,30.33811307722459,45.44248408038368,27.534530631570806,23.398508077520052,3.6244772105254626,521993.48621248105,76.26156704524993,150,58212,52520,117536,48023,80794,66596,37609,117883,104590
60,Assam,Assam_District_20,1916116,28.77738976847212,35.47699547424662,29.601479764633417,6.144134992647842,52.70092370954365,47.29907629045635,75.9120541833878,75.22445505943203,24.77554494056797,49.08688683956182,23.190497240873636,21.33665103311348,6.385964886451063,577012.798108123,79.78672671479833,138,142934,74615,362700,129113,279185,172244,70299,231724,301558
61,Assam,Assam_District_21,2794955,32.086684676486016,32.04805202068447,30.80305650967346,5.062206793156051,48.072977176633074,51.927022823366926,88.23279560982317,64.75715638364503,35.242843616354975,36.15531076709602,15.458465708168458,22.242229747301938,26.14399377743359,182511.8285641993,81.53179361159164,208,152986,76104,300445,252480,352914,254773,118364,348178,413922
62,Assam,Assam_District_22,1559083,31.697562953988765,35.025228413715496,31.479145354164803,1.798063278130936,51.03358183421156,48.96641816578844,90.22034022199877,58.6684623814067,41.3315376185933,48.17654678173197,18.39713044761922,18.768905684593292,14.657417086055517,548161.9438184721,64.81391220731301,460,66029,15057,163329,142321,121630,195297,60017,292217,206149
63,Assam,Assam_District_23,1116302,25.88414187807126,35.81214200066124,29.43310240636061,8.870613714906888,48.50499928615984,51.49500071384016,68.73142963605729,56.97299802439144,43.02700197560856,53.36722457117422,39.725444128762874,15.890319638804318,0.0,220519.53478142153,52.105932249638805,115,103942,56135,167156,64664,151558,152849,57582,225828,162558
64,Assam,Assam_District_24,2132256,27.934772739284487,38.926526004078035,26.304688573012886,6.8340126836245965,51.37054742768732,48.62945257231268,73.34924402060726,76.7145532301523,23.285446769847695,33.194106719316615,30.4080539581637,14.557977709152896,21.8398616133668,751295.4411347847,66.2109820086276,340,130182,74171,312400,129137,207764,122894,104276,272300,272745
65,Assam,Assam_District_25,887097,28.46127612396556,39.955788449434955,31.86589793916387,0.0,50.86131174529966,49.13868825470034,80.61936297326261,13.64113577560655,86.35886422439344,32.06503617188407,36.19870028590378,13.198987312359192,18.537276229852964,719267.6346665137,60.48140834299454,318,32620,0,116377,73799,89013,120927,48128,172081,151104
66,Assam,Assam_District_26,1586278,33.33740038836694,36.514351118526506,34.25482637866113,0.0,51.603108007306346,48.396891992693654,72.48143804194498,51.905548467878155,48.094451532121845,45.27362431863514,38.87900270676718,28.33790758496647,0.0,414512.9376734132,72.16481949683673,421,115794,0,295822,149325,278893,180031,83188,272890,208793
67,Assam,Assam_District_27,2640564,34.77998964792482,39.46596326526251,30.09506023688078,0.0,49.16675782344879,50.83324217655121,72.5788409926589,15.790268903786876,84.20973109621312,49.2328809008079,17.40378447598375,15.191737437129895,18.171597186078458,717622.1807729392,57.78244356812115,291,47478,0,205548,232683,194624,525090,94762,656722,416979
68,Bihar,Araria,2625936,27.403373686472577,37.175217216999314,27.26324111264839,8.158167983879718,51.75270159393945,48.24729840606055,72.7613403726295,36.13949345060152,63.86050654939848,23.096611445042893,31.53221929233345,21.251891365023628,24.119277897600025,674565.1554694572,49.34124751719466,375,131408,134744,437880,191131,262287,360418,137700,429631,459584
69,Bihar,Arwal,2248193,34.33745183242806,39.48425507154221,30.050476854849375,0.0,48.381084856940674,51.618915143059326,82.49127899220858,15.919276404717941,84.08072359528205,39.07461169568769,33.32440966162898,18.427278524687665,9.173700117995665,578421.5029064979,55.9219796097139,245,100212,0,260251,163085,232084,385944,90409,499742,347462
70,Bihar,Aurangabad,669117,32.66984909992227,38.911105550611,29.32566747216265,0.0,48.74091958799123,51.25908041200877,91.67873580202672,76.54135917472541,23.458640825274585,41.01549350462022,19.03553541702003,23.786458423746772,16.162512654612982,452589.64824956714,53.71549505528132,193,46901,0,85384,62209,85146,47829,34517,94085,98896
71,Bihar,Banka,2452767,31.49705972538751,35.25114532226827,34.24959575761052,0.0,52.056972745170626,47.943027254829374,61.60232950118054,36.9509468067678,63.0490531932322,29.78008736759021,17.390538153269333,26.61748867350922,26.211885805631233,358623.0018057041,81.42707275932801,81,90054,0,277835,211597,240286,311888,86764,421541,364616
72,Bihar,Bihar_District_5,2608039,28.57926188875988,35.201606460540205,26.409094578655196,9.810037072044725,52.96444207604557,47.03555792395443,86.19899788389105,19.04989544031411,80.95010455968588,32.439526972548734,37.15378956375267,29.672070865555565,0.734612598143034,708809.2201872543,73.57441635299904,329,141398,135775,373794,163491,326071,457917,156875,435409,364711
73,Bihar,Bihar_District_6,1248585,31.270544935855526,31.20531385012716,27.32262828333598,10.20151293068134,49.98103654670346,50.01896345329654,68.93081443912367,57.39139879218884,42.60860120781116,21.417129216409077,33.28114134210159,24.7046568932613,20.597072548228027,369088.06979871023,60.453550243958475,221,71414,62683,260252,87616,117675,112357,81832,145634,177363
74,Bihar,Bihar_District_7,620984,32.512915895872766,32.70345718367223,34.84125215861596,0.0,52.98620209948304,47.01379790051696,67.95037343109828,69.76800099999872,30.23199900000128,49.61439091063413,39.654501847561235,16.095622913127297,0.0,322835.47880732187,62.166050645086756,499,34337,0,115535,51656,96937,66764,25776,84719,91953
75,Bihar,Bihar_District_8,2297742,29.545171970768088,33.90163311952111,29.389968444856034,7.163226464854777,52.6022505371458,47.3977494628542,77.9537733970523,23.45538954751669,76.54461045248331,51.667024375935824,18.351349626498553,13.56018128448495,16.421444713080675,650351.1062894622,67.759939864724,470,65009,101706,236959,192100,186989,459960,80983,588896,284762
76,Bihar,Bihar_District_9,1255289,25.287679996199063,38.09228936421521,30.00481180575258,6.615218833833147,49.592740717415786,50.407259282584214,70.0927371192215,53.1544096562743,46.8455903437257,40.54914062381519,27.97276049125305,14.418842556520069,17.05925632841169,170046.0099041412,57.483166478304064,164,83526,41947,184031,68410,98349,116387,63444,157485,197105
77,Bihar,Bihar_District_10,718004,34.79833822635322,32.945372072120506,32.722658162985994,0.0,49.799918706839414,50.200081293160586,89.99775176573667,25.106755962619552,74.89324403738044,46.02150876453779,24.85395662354236,27.989273452659805,1.1352611592600432,267553.1188724152,75.62936145547721,232,24745,0,93035,52358,72062,99297,35483,124259,116335
78,Bihar,Bihar_District_11,1178490,34.967018869393726,38.75390363227313,30.941511163422724,0.0,49.34681311777253,50.65318688222747,64.69929711671627,16.03828325928219,83.9617167407178,50.67922188570998,36.65666327826871,16.603163696114837,0.0,555629.902164943,82.63139109633856,102,56919,0,122013,109383,94421,215805,75104,227253,203371
79,Bihar,Bihar_District_12,2747790,25.701281092296437,34.22144798924127,33.14289107157807,6.9343798468842195,52.9061420280726,47.0938579719274,75.09904284227022,63.06907647971887,36.93092352028113,57.399227689755506,16.38789931720863,24.21037910482448,2.0024938882113865,410826.6406309055,66.92098845041913,380,194043,94042,417342,186183,281983,385609,116699,497741,344677
